Area,Ampl
-7.22E-08,0
-7.12E-08,4
-7.02E-08,3
-6.92E-08,1
-6.82E-08,6
-6.72E-08,2
-6.62E-08,1
-6.52E-08,1
-6.42E-08,3
-6.32E-08,2
-6.22E-08,1
-6.12E-08,1
-6.02E-08,0
-5.92E-08,1
-5.82E-08,1
-5.72E-08,3
-5.62E-08,1
-5.52E-08,2
-5.42E-08,2
-5.32E-08,1
-5.22E-08,4
-5.12E-08,1
-5.02E-08,0
-4.92E-08,1
-4.82E-08,1
-4.72E-08,1
-4.62E-08,3
-4.52E-08,1
-4.42E-08,1
-4.32E-08,1
-4.22E-08,2
-4.12E-08,3
-4.02E-08,3
-3.92E-08,1
-3.82E-08,2
-3.72E-08,2
-3.62E-08,2
-3.52E-08,4
-3.42E-08,10
-3.32E-08,12
-3.22E-08,21
-3.12E-08,121
-3.02E-08,677
-2.92E-08,2496
-2.82E-08,4489
-2.72E-08,3982
-2.62E-08,1999
-2.52E-08,731
-2.42E-08,316
-2.32E-08,215
-2.22E-08,177
-2.12E-08,131
-2.02E-08,96
-1.92E-08,85
-1.82E-08,86
-1.72E-08,85
-1.62E-08,78
-1.52E-08,70
-1.42E-08,61
-1.32E-08,79
-1.22E-08,59
-1.12E-08,79
-1.02E-08,81
-9.2E-09,75
-8.2E-09,108
-7.2E-09,114
-6.2E-09,134
-5.2E-09,147
-4.2E-09,153
-3.2E-09,191
-2.2E-09,292
-1.2E-09,298
-2E-10,115
8E-10,2
1.8E-09,0
2.8E-09,0
3.8E-09,0
4.8E-09,0
5.8E-09,0
6.8E-09,0
7.8E-09,0
8.8E-09,0
9.8E-09,0
1.08E-08,0
1.18E-08,0
1.28E-08,0
1.38E-08,0
1.48E-08,0
1.58E-08,0
1.68E-08,0
1.78E-08,0
1.88E-08,0
1.98E-08,0
2.08E-08,0
2.18E-08,0
2.28E-08,0
2.38E-08,0
2.48E-08,0
2.58E-08,0
2.68E-08,0